IDRSSD,FDIC Certificate Number,OCC Charter Number,OTS Docket Number,Primary ABA Routing Number,Financial Institution Name,Financial Institution Name Cleaned,Financial Institution Address,Financial Institution City,Financial Institution State,Financial Institution Zip Code,Financial Institution Zip Code 5,Financial Institution Filing Type,Last Date/Time Submission Updated On
29878,30303,705138,5138,221472792,MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION,MASPETH FEDERAL SAVINGS AND LOAN ASSOCIATION,56-18 69TH ST ,MASPETH,NY,11378,11378,41,2014-10-29T11:11:21
29953,10650,0,0,104910274,HOME STATE BANK,HOME STATE BANK,218 MAIN STREET ,LOUISVILLE,NE,68037,68037,41,2014-10-29T12:07:43
30052,26658,0,0,111316829,AMISTAD BANK,AMISTAD BANK,1301 VETERANS BLVD ,DEL RIO,TX,788403621,78840,41,2014-10-23T10:02:34
30418,27041,0,2500,231275882,COLLEGE SAVINGS BANK,COLLEGE SAVINGS BANK,5 VAUGN DRIVE ,PRINCETON,NJ,08540-6313,8540,41,2014-10-23T17:23:58
30502,14240,0,0,11700425,NORTHWAY BANK,NORTHWAY BANK,9 MAIN STREET ,BERLIN,NH,3570,3570,41,2014-10-30T08:44:52
30650,8193,0,0,91008299,LAKE COMMUNITY BANK,LAKE COMMUNITY BANK,1964 W. WAYZATA BLVD. ,LONG LAKE,MN,55356,55356,41,2014-10-20T12:32:35
30810,5649,0,0,31100649,DISCOVER BANK,DISCOVER BANK,502 EAST MARKET STREET ,GREENWOOD,DE,19950,19950,41,2014-10-29T16:33:28
30874,28888,0,0,236073830,FOX CHASE BANK,FOX CHASE BANK,4390 DAVISVILLE ROAD ,HATBORO,PA,190402544,19040,41,2014-10-30T15:27:51
"31134,2160,7899,11878,61202245,""FIRST NATIONAL BANK OF WAYNESBORO, THE"",FIRST NATIONAL BANK OF WAYNESBORO,626 LIBERTY ST ,WAYNESBORO,GA,30830,30830,41,2014-10-28T17:18:49"
31255,17612,0,0,113001077,CENTRAL BANK,CENTRAL BANK,11201 CLAY ROAD ,HOUSTON,TX,770415578,77041,41,2014-10-24T14:54:37
"31657,11904,0,0,111909443,""FIRST STATE BANK OF BEN WHEELER, TEXAS"",""FIRST STATE BANK OF BEN WHEELER, TEXAS"",14269 STATE HWY 64 ,BEN WHEELER,TX,75754,75754,41,2014-10-28T14:28:09"
31826,6863,9924,14630,51403818,POWELL VALLEY NATIONAL BANK,POWELL VALLEY NATIONAL BANK,33785 MAIN STREET ,JONESVILLE,VA,24263,24263,41,2014-10-29T09:15:19
31835,8243,0,9803,65302675,BANK OF ANGUILLA,BANK OF ANGUILLA,130 HOLLAND STREET ,ANGUILLA,MS,38721,38721,41,2014-10-23T17:16:46
32234,3639,1926,0,71103952,FIRST NATIONAL BANK AND TRUST COMPANY,FIRST NATIONAL BANK AND TRUST COMPANY,2 KELLI COURT ,CLINTON,IL,61727,61727,41,2014-10-24T11:14:55
32766,21693,16357,0,111906048,LAKESIDE NATIONAL BANK,LAKESIDE NATIONAL BANK,2805 RIDGE ROAD ,ROCKWALL,TX,75032,75032,41,2014-10-22T09:14:12
32971,28894,702578,2578,274970607,SECURITY FEDERAL SAVINGS BANK,SECURITY FEDERAL SAVINGS BANK,314 FOURTH ST ,LOGANSPORT,IN,469470000,46947,41,2014-10-27T15:44:33
33147,1027,0,0,84101051,FARMERS BANK AND TRUST COMPANY,FARMERS BANK AND TRUST COMPANY,400 WEST MAIN STREET ,BLYTHEVILLE,AR,72315,72315,41,2014-10-30T15:24:17
33259,21714,0,0,96005093,PREMIER BANK,PREMIER BANK,2866 WHITE BEAR AVE. ,MAPLEWOOD,MN,55109,55109,41,2014-10-28T14:05:31
"33268,1213,0,0,111307485,""ROSCOE STATE BANK, THE"",ROSCOE STATE BANK,117 CYPRESS STREET ,ROSCOE,TX,79545,79545,41,2014-10-27T17:19:03"
"33370,31723,707384,7384,242170374,""HOME SAVINGS BANK, FSB"",""HOME SAVINGS BANK, FEDERAL SAVINGS BANK"",202 ELM STREET ,LUDLOW,KY,41016,41016,41,2014-10-10T16:29:53"
33839,10075,0,0,71112354,PEOPLES STATE BANK OF COLFAX,PEOPLES STATE BANK OF COLFAX,101 WEST MAIN STREET ,COLFAX,IL,61728,61728,41,2014-10-07T16:39:53
33857,15545,0,0,104913381,FRONTIER BANK,FRONTIER BANK,301 SOUTH MAIN ,MADISON,NE,68748,68748,41,2014-10-29T15:13:04
34153,20843,0,0,96000603,AMERICAN BANK OF SAINT PAUL,AMERICAN BANK OF SAINT PAUL,2310 7TH STREET WEST ,SAINT PAUL,MN,55116,55116,41,2014-10-27T09:41:11
34425,11200,0,16871,51403850,BANK OF LANCASTER,BANK OF LANCASTER,100 S MAIN STREET ,KILMARNOCK,VA,22482,22482,41,2014-10-30T10:57:34
34434,22081,0,15636,65302468,MAGNOLIA STATE BANK,MAGNOLIA STATE BANK,15 EAST 6TH AVENUE ,BAY SPRINGS,MS,39422,39422,41,2014-10-28T11:51:27
"34452,5358,10489,0,91508317,""FIRST NATIONAL BANK OF PARK FALLS, THE"",FIRST NATIONAL BANK OF PARK FALLS,110 NORTH 2ND AVENUE ,PARK FALLS,WI,54552,54552,41,2014-10-15T15:52:22"
34537,131,14838,15273,67005158,SEACOAST NATIONAL BANK,SEACOAST NATIONAL BANK,815 COLORADO AVENUE ,STUART,FL,34994,34994,41,2014-10-30T16:57:09
34555,14695,0,0,81507014,MACON-ATLANTA STATE BANK,MACON-ATLANTA STATE BANK,1513 NORTH MISSOURI STREET ,MACON,MO,63552,63552,41,2014-10-16T12:19:56
34742,13083,0,0,82901952,FIRST WESTERN BANK,FIRST WESTERN BANK,80 WEST MAIN STREET ,BOONEVILLE,AR,72927,72927,41,2014-10-29T09:55:21
"34836,11297,0,0,61104204,""WOODBURY BANKING COMPANY, THE"",WOODBURY BANKING COMPANY,33 JONES MILL RD ,WOODBURY,GA,30293,30293,41,2014-11-04T15:04:17"
35057,1946,0,0,81506390,ALLIANT BANK,ALLIANT BANK,101 EAST BROADWAY ,MADISON,MO,65263,65263,41,2014-10-30T19:01:27
35301,14,0,0,11000028,STATE STREET BANK AND TRUST COMPANY,STATE STREET BANK AND TRUST COMPANY,ONE LINCOLN STREET ,BOSTON,MA,2111,2111,31,2014-11-04T14:40:44
35570,28892,0,2573,221272031,INVESTORS BANK,INVESTORS BANK,101 JOHN F KENNEDY PARKWAY ,SHORT HILLS,NJ,7078,7078,41,2014-10-30T13:34:01
35646,11235,0,0,75904597,BONDUEL STATE BANK,BONDUEL STATE BANK,130 NORTH CECIL STREET ,BONDUEL,WI,54107,54107,41,2014-10-08T15:11:15
35842,10868,0,0,81226298,PREMIER BANK OF JACKSONVILLE,PREMIER BANK OF JACKSONVILLE,1604 WEST MORTON AVENUE ,JACKSONVILLE,IL,62650,62650,41,2014-10-29T18:08:44
"35879,30313,0,5151,275971029,""EAST WISCONSIN SAVINGS BANK, S.A."",""EAST WISCONSIN SAVINGS BANK, S.A."",109 WEST 2ND STREET ,KAUKAUNA,WI,541300000,54130,41,2014-11-06T15:10:37"
36456,15907,0,0,104113408,FARMERS STATE BANK,FARMERS STATE BANK,122 S. COMMERCIAL ST ,MAYWOOD,NE,69038,69038,41,2014-10-27T15:41:15
36933,19163,0,14828,61101113,FIRST STATE BANK,FIRST STATE BANK,300 BROAD STREET ,WRENS,GA,30833,30833,41,2014-10-24T08:12:25
37051,13030,0,0,91809524,PIGEON FALLS STATE BANK,PIGEON FALLS STATE BANK,40214 SOUTH EKERN AVENUE ,PIGEON FALLS,WI,54760,54760,41,2014-11-12T14:44:05
37341,21085,0,0,75907743,BANK OF ONTARIO,BANK OF ONTARIO,315 MAIN STREET ,ONTARIO,WI,54651,54651,41,2014-10-30T15:39:25
37435,172,0,10091,61107515,UNITED BANK,UNITED BANK,685 GRIFFIN STREET ,ZEBULON,GA,30295,30295,41,2014-10-28T16:24:35
37640,17393,0,0,83904563,GERMAN AMERICAN BANCORP,GERMAN AMERICAN BANCORP,711 MAIN STREET ,JASPER,IN,47546,47546,41,2014-10-30T16:33:15
"37659,12758,0,0,103111977,""FARMERS STATE BANK, ALLEN, OKLAHOMA"",""FARMERS STATE BANK, ALLEN, OKLAHOMA"",201 EAST BROADWAY ,ALLEN,OK,74825,74825,41,2014-10-21T14:47:14"
37743,11607,0,0,75910400,CALUMET COUNTY BANK,CALUMET COUNTY BANK,103 NORTH MAIN STREET ,BRILLION,WI,541101126,54110,41,2014-10-29T11:20:21
37949,11711,0,0,71119289,BANK OF RANTOUL,BANK OF RANTOUL,201 EAST CHAMPAIGN AVENUE ,RANTOUL,IL,61866,61866,41,2014-10-27T14:08:59
38740,13112,0,0,74912865,OWEN COUNTY STATE BANK,OWEN COUNTY STATE BANK,201 WEST MORGAN STREET ,SPENCER,IN,47460,47460,41,2014-10-28T15:52:13
"39327,5874,0,0,52101012,""CALVIN B. TAYLOR BANKING COMPANY OF BERLIN, MARYLAND"",""CALVIN B. TAYLOR BANKING COMPANY OF BERLIN, MARYLAND"",24 NORTH MAIN STREET ,BERLIN,MD,21811,21811,41,2014-10-29T14:20:04"
"39420,14832,14290,0,41201114,""LORAIN NATIONAL BANK, THE"",LORAIN NATIONAL BANK,457 BROADWAY ,LORAIN,OH,440521769,44052,41,2014-10-29T16:19:00"
"39475,22441,0,0,125107037,AMERICANWEST BANK,AMERICANWEST BANK,""41 WEST RIVERSIDE AVENUE, SUITE 400 "",SPOKANE,WA,99201,99201,41,2014-10-29T13:00:26"
39756,4032,0,0,103112523,NBC OKLAHOMA,NBC OKLAHOMA,13401 NORTH PENNSYLVANIA ,OKLAHOMA CITY,OK,73120,73120,41,2014-10-30T13:07:03
40033,11817,0,17580,65303810,RICHTON BANK & TRUST COMPANY,RICHTON BANK AND TRUST COMPANY,114 S. FRONT STREET ,RICHTON,MS,39476,39476,41,2014-10-30T10:51:54
40350,10653,0,0,104908163,MURRAY STATE BANK,MURRAY STATE BANK,102 WEST MAIN STREET ,MURRAY,NE,68409,68409,41,2014-10-28T11:32:47
40499,59070,0,0,211381372,HARBORONE BANK,HARBORONE BANK,770 OAK STREET ,BROCKTON,MA,2301,2301,41,2014-10-30T15:10:39
40855,10980,0,0,91207317,EITZEN STATE BANK,EITZEN STATE BANK,115 HIGHWAY 44 ,CALEDONIA,MN,55921,55921,41,2014-10-28T13:50:27
41245,15173,0,0,75906362,FARMERS & MERCHANTS BANK OF ORFORDVILLE,FARMERS AND MERCHANTS BANK OF ORFORDVILLE,303 SPRING STREET ,ORFORDVILLE,WI,53576,53576,41,2014-10-27T15:20:57
41553,12283,0,0,103101505,FIRST STATE BANK,FIRST STATE BANK,102 WEST MAIN STREET ,ANADARKO,OK,73005,73005,41,2014-10-20T15:52:53
41629,6913,0,15369,51404325,PIONEER BANK,PIONEER BANK,252 E MAIN STREET ,STANLEY,VA,22851,22851,41,2014-10-30T13:45:15
41825,14017,0,0,55001258,MIDDLETOWN VALLEY BANK,MIDDLETOWN VALLEY BANK,24 WEST MAIN STREET ,MIDDLETOWN,MD,21769,21769,41,2014-10-24T09:20:23
41937,10802,0,0,71112480,FARMERS STATE BANK OF DANFORTH,FARMERS STATE BANK OF DANFORTH,200 NORTH FRONT STREET ,DANFORTH,IL,60930,60930,41,2014-10-29T17:58:48
41955,5447,0,0,104102985,BANK OF NEWMAN GROVE,BANK OF NEWMAN GROVE,416 HALE AVENUE ,NEWMAN GROVE,NE,68758,68758,41,2014-10-23T15:05:14
42037,70,0,0,62102593,PEOPLES EXCHANGE BANK OF MONROE COUNTY,PEOPLES EXCHANGE BANK OF MONROE COUNTY,2013 HIGHWAY 21 BYPASS ,MONROEVILLE,AL,36460,36460,41,2014-10-20T09:52:01
42055,15354,0,0,103101482,ANADARKO BANK AND TRUST COMPANY,ANADARKO BANK AND TRUST COMPANY,110 WEST OKLAHOMA ,ANADARKO,OK,73005,73005,41,2014-10-16T16:03:06
"42354,3110,8573,0,111303489,""COMMERCIAL NATIONAL BANK OF BRADY, THE"",COMMERCIAL NATIONAL BANK OF BRADY,105 E. 2ND STREET ,BRADY,TX,76825,76825,41,2014-10-27T10:37:59"
42372,30315,705153,5153,253170884,FIRST FEDERAL SAVINGS BANK OF LINCOLNTON,FIRST FEDERAL SAVINGS BANK OF LINCOLNTON,320 EAST MAIN STREET ,LINCOLNTON,NC,28092,28092,41,2014-10-23T12:13:28
42420,7468,0,0,43306826,FIRST COMMONWEALTH BANK,FIRST COMMONWEALTH BANK,600 PHILADELPHIA ST ,INDIANA,PA,15701,15701,41,2014-10-30T19:01:51
42448,3887,10004,0,84100793,FIRST NATIONAL BANK,FIRST NATIONAL BANK,200 WEST COURT STREET ,PARAGOULD,AR,72450,72450,41,2014-10-23T18:30:05
42457,12246,0,0,104102642,COMMERCIAL BANK OF NELSON,COMMERCIAL BANK OF NELSON,401 SOUTH MAIN STREET ,NELSON,NE,68961,68961,41,2014-10-27T13:20:15
"42671,32460,708287,8287,311993149,""SOUTHWEST SECURITIES, FSB"",""SOUTHWEST SECURITIES, FEDERAL SAVINGS BANK"",1201 ELM STREET SUITE 3500,DALLAS,TX,75270,75270,41,2014-10-28T10:03:57"
43052,9036,0,0,91510075,SECURITY STATE BANK,SECURITY STATE BANK,7865 U.S. HIGHWAY 2 ,IRON RIVER,WI,54847,54847,41,2014-10-30T11:54:27
43351,17685,0,0,101106528,LEONARDVILLE STATE BANK,LEONARDVILLE STATE BANK,102 WEST BARTON ,LEONARDVILLE,KS,66449,66449,41,2014-10-29T15:25:56
43744,14823,0,0,75904238,CAMBRIDGE STATE BANK,CAMBRIDGE STATE BANK,221 WEST MAIN STREET ,CAMBRIDGE,WI,53523,53523,41,2014-10-20T11:22:33
"43856,5141,6991,0,91200848,""MINERS NATIONAL BANK OF EVELETH, THE"",MINERS NATIONAL BANK OF EVELETH,401 GRANT AVENUE ,EVELETH,MN,55734,55734,41,2014-10-21T12:22:06"
43959,18155,0,0,113123528,BRIDGE CITY STATE BANK,BRIDGE CITY STATE BANK,701 W. ROUNDBUNCH ,BRIDGE CITY,TX,776112435,77611,41,2014-10-19T14:54:39
"44040,4364,9784,0,74908426,""FIRST NATIONAL BANK OF MONTEREY, THE"",FIRST NATIONAL BANK OF MONTEREY,6222 EAST MAIN STREET ,MONTEREY,IN,46960,46960,41,2014-10-20T09:12:35"
"44433,25258,18283,14891,67011812,""INTERCREDIT BANK, NATIONAL ASSOCIATION"",""INTERCREDIT BANK, NATIONAL ASSOCIATION"",1200 BRICKELL AVENUE 4TH FLOOR,MIAMI,FL,33131,33131,41,2014-10-30T16:26:47"
44741,9647,0,0,74905225,CITIZENS BANK,CITIZENS BANK,33 NORTH INDIANA STREET ,MOORESVILLE,IN,46158,46158,41,2014-10-27T09:03:33
44750,16126,0,0,81518139,CITIZENS BANK OF NEWBURG,CITIZENS BANK OF NEWBURG,1515 MARTIN SPRINGS DRIVE ,ROLLA,MO,65401,65401,41,2014-10-28T08:58:37
"44929,6637,46,0,44106384,""FIRST NATIONAL BANK OF MCCONNELSVILLE, THE"",FIRST NATIONAL BANK OF MCCONNELSVILLE,86 NORTH KENNEBEC AVENUE ,MCCONNELSVILLE,OH,43756,43756,41,2014-10-15T10:34:08"
45038,5740,0,0,71112503,STATE BANK OF DAVIS,STATE BANK OF DAVIS,100 IL ROUTE 75 ,DAVIS,IL,61019,61019,41,2014-10-29T14:18:00
"45047,14534,14209,0,82902074,""FIRST NATIONAL BANK AT PARIS, THE"",FIRST NATIONAL BANK AT PARIS,MAIN AND ELM STREETS ,PARIS,AR,72855,72855,41,2014-10-22T14:12:10"
45056,9818,0,0,104908134,PLATTE VALLEY BANK,PLATTE VALLEY BANK,606 MAIN ,NORTH BEND,NE,68649,68649,41,2014-10-30T11:10:54
45430,22070,0,0,64202873,JOHNSON COUNTY BANK,JOHNSON COUNTY BANK,241 WEST MAIN STREET ,MOUNTAIN CITY,TN,37683,37683,41,2014-10-29T14:34:54
45458,17927,0,0,101109130,VINTAGE BANK KANSAS,VINTAGE BANK KANSAS,101 SOUTH MAIN ,LEON,KS,67074,67074,41,2014-10-16T17:59:10
45551,5170,0,0,73920829,BANK MIDWEST,BANK MIDWEST,1525 18TH STREET ,SPIRIT LAKE,IA,51360,51360,41,2014-10-13T17:39:42
45560,16470,0,0,114000763,JEFFERSON BANK,JEFFERSON BANK,1777 NE LOOP 410 SUITE 201,SAN ANTONIO,TX,78217,78217,41,2014-10-29T13:20:16
45775,28908,0,2601,231371692,IRON WORKERS SAVINGS BANK,IRON WORKERS SAVINGS BANK,3333 CONCORD ROAD ,ASTON,PA,19014,19014,41,2014-10-27T15:24:53
"46053,1610,0,0,91900559,""STATE BANK OF FARIBAULT, THE"",STATE BANK OF FARIBAULT,428 CENTRAL AVE. ,FARIBAULT,MN,55021,55021,41,2014-10-20T16:12:05"
46941,2765,0,0,83901773,FARMERS BANK AND TRUST COMPANY,FARMERS BANK AND TRUST COMPANY,111 WEST WASHINGTON ,PRINCETON,KY,42445,42445,41,2014-10-28T15:55:13
47153,16468,0,0,104113709,NORTH LOUP VALLEY BANK,NORTH LOUP VALLEY BANK,C AND FIRST STREETS ,NORTH LOUP,NE,68859,68859,41,2014-10-31T15:36:41
"47247,5033,0,11837,72410903,""DART BANK, THE"",DART BANK,368 SOUTH PARK STREET ,MASON,MI,488540040,48854,41,2014-10-30T13:54:35"
47256,27053,0,0,91512594,COMMUNITY FINANCIAL BANK,COMMUNITY FINANCIAL BANK,450 CENTER STREET ,PRENTICE,WI,54556,54556,41,2014-10-30T10:41:02
47452,25065,18162,0,111103333,FIRST NATIONAL BANK OF BENTON,FIRST NATIONAL BANK OF BENTON,104 SIBLEY DRIVE ,BENTON,LA,71006,71006,41,2014-10-29T15:43:00
47500,18038,0,7619,211770190,CLAREMONT SAVINGS BANK,CLAREMONT SAVINGS BANK,145 BROAD STREET ,CLAREMONT,NH,3743,3743,41,2014-10-30T13:58:39
48057,4775,0,0,101102645,PRAIRIE BANK OF KANSAS,PRAIRIE BANK OF KANSAS,200 SOUTH MAIN ,STAFFORD,KS,67578,67578,41,2014-10-30T10:18:10
48150,16778,0,0,91916200,FRANKLIN STATE BANK,FRANKLIN STATE BANK,278 2ND AVE. E. ,FRANKLIN,MN,55333,55333,41,2014-10-21T10:54:54
48374,28905,0,0,282970110,FIRST FINANCIAL BANK,FIRST FINANCIAL BANK,214 NORTH WASHINGTON ,EL DORADO,AR,71730,71730,41,2014-10-29T13:39:54
48440,9517,0,0,75904856,CLEVELAND STATE BANK,CLEVELAND STATE BANK,1250 WEST WASHINGTON AVENUE ,CLEVELAND,WI,530150158,53015,41,2014-10-30T15:07:51
49054,10212,0,0,91912576,COMMERCE BANK,COMMERCE BANK,101 CENTRAL AVENUE SOUTH ,GENEVA,MN,56035,56035,41,2014-10-30T15:29:35
49148,9265,0,0,71105866,RUSHVILLE STATE BANK,RUSHVILLE STATE BANK,100 EAST LAFAYETTE STREET ,RUSHVILLE,IL,62681,62681,41,2014-10-30T17:25:43
"49241,19371,15482,0,82901088,""RELYANCE BANK, NATIONAL ASSOCIATION"",""RELYANCE BANK, NATIONAL ASSOCIATION"",917 CHERRY STREET ,PINE BLUFF,AR,71601,71601,41,2014-10-27T16:45:45"
49344,1001,0,10973,72403677,MASON STATE BANK,MASON STATE BANK,322 SOUTH JEFFERSON STREET ,MASON,MI,48854,48854,41,2014-10-29T16:03:36
49643,15116,0,0,75907345,PALMYRA STATE BANK,PALMYRA STATE BANK,111 EAST MAIN STREET ,PALMYRA,WI,53156,53156,41,2014-10-29T17:24:20
49652,16473,0,0,101102438,FIRST BANK,FIRST BANK,128 SOUTH BROADWAY ,STERLING,KS,67579,67579,41,2014-10-23T17:20:34
49821,12267,0,10510,53100685,HIGH POINT BANK AND TRUST COMPANY,HIGH POINT BANK AND TRUST COMPANY,300 NORTH MAIN STREET ,HIGH POINT,NC,27260,27260,41,2014-10-17T16:23:18
49858,26727,0,0,114917157,BANK OF SOUTH TEXAS,BANK OF SOUTH TEXAS,1421 EAST NOLANA AVENUE ,MCALLEN,TX,78504,78504,41,2014-10-30T10:41:34
"49951,4041,0,0,103110305,""FIRST SECURITY BANK, THE"",FIRST SECURITY BANK,15 SOUTH DOUGLAS AVENUE ,BEAVER,OK,73932,73932,41,2014-10-30T18:22:35"
50144,14561,0,0,83906228,STATE BANK OF MEDORA,STATE BANK OF MEDORA,24 EAST MAIN STREET ,MEDORA,IN,47260,47260,41,2014-10-06T10:44:48
"50461,23242,0,0,121038265,CALIFORNIA PACIFIC BANK,CALIFORNIA PACIFIC BANK,""250 MONTGOMERY STREET, SUITE 500 "",SAN FRANCISCO,CA,94104,94104,41,2014-10-14T16:58:44"
50546,1298,0,0,84106221,LITTLE RIVER BANK,LITTLE RIVER BANK,202 GREENWOOD AVENUE ,LEPANTO,AR,72354,72354,41,2014-10-22T11:24:10
50854,2332,0,0,103112358,WILBURTON STATE BANK,WILBURTON STATE BANK,123 EAST MAIN STREET ,WILBURTON,OK,74578,74578,41,2014-10-21T13:06:52
50872,29313,703267,3267,242170646,WINCHESTER FEDERAL BANK,WINCHESTER FEDERAL BANK,57 SOUTH MAIN STREET ,WINCHESTER,KY,40391,40391,41,2014-10-30T15:08:53
50957,1149,0,0,101014924,ALTERRA BANK,ALTERRA BANK,11300 TOMAHAWK CREEK PARKWAY SUITE 100,LEAWOOD,KS,66211,66211,41,2014-11-04T13:52:10
51253,9176,0,0,84307761,BANK OF CAMDEN,BANK OF CAMDEN,102 EAST MAIN STREET ,CAMDEN,TN,38320,38320,41,2014-10-30T14:48:49
51356,22839,0,0,103102300,LATIMER STATE BANK,LATIMER STATE BANK,301 WEST MAIN STREET ,WILBURTON,OK,74578,74578,41,2014-10-06T14:35:34
51459,16436,0,0,101110271,CENTERA BANK,CENTERA BANK,119 SOUTH INMAN ,SUBLETTE,KS,67877,67877,41,2014-10-29T16:18:38
51730,22131,0,14988,62102713,CITY BANK OF HARTFORD,CITY BANK OF HARTFORD,307 WEST MAIN STREET ,HARTFORD,AL,36344,36344,41,2014-10-24T11:27:27
51842,14445,0,0,75902670,FARMERS & MERCHANTS UNION BANK,FARMERS AND MERCHANTS UNION BANK,159 WEST JAMES STREET ,COLUMBUS,WI,53925,53925,41,2014-10-17T12:39:28
"52719,90544,0,0,26002066,""DEPOSITORY TRUST COMPANY, THE"",DEPOSITORY TRUST COMPANY,55 WATER STREET ,NEW YORK,NY,10041,10041,41,2014-10-29T10:23:01"
"52951,8980,0,0,103109374,""SECURITY STATE BANK OF WEWOKA, OKLAHOMA"",""SECURITY STATE BANK OF WEWOKA, OKLAHOMA"",210 SOUTH MEKUSUKEY ,WEWOKA,OK,74884,74884,41,2014-10-20T14:20:35"
"53033,21837,16401,0,67009646,""SABADELL UNITED BANK, NATIONAL ASSOCIATION"",""SABADELL UNITED BANK, NATIONAL ASSOCIATION"",1111 BRICKELL AVENUE 29TH FLOOR ,MIAMI,FL,33131,33131,41,2014-10-30T17:53:11"
"53051,11916,0,0,111909773,""BUCKHOLTS STATE BANK, THE"",BUCKHOLTS STATE BANK,100 N. 4TH STREET ,BUCKHOLTS,TX,76518,76518,41,2014-10-30T15:53:19"
53752,16182,0,0,113122082,FIRST STATE BANK,FIRST STATE BANK,101 WORTH STREET ,HEMPHILL,TX,75948,75948,41,2014-10-28T17:29:11
54049,11603,0,0,75906524,BANK OF POYNETTE,BANK OF POYNETTE,105 SOUTH MAIN STREET ,POYNETTE,WI,53955,53955,41,2014-10-30T17:10:51
54058,1868,0,0,101106285,BANK OF TESCOTT,BANK OF TESCOTT,FIRST AND MAIN STREETS ,TESCOTT,KS,67484,67484,41,2014-10-03T11:53:54
54375,28915,0,0,283071827,YOUR COMMUNITY BANK,YOUR COMMUNITY BANK,101 WEST SPRING STREET ,NEW ALBANY,IN,47150,47150,41,2014-10-30T15:19:21
54441,6183,0,0,75903637,AMERICAN BANK & TRUST WISCONSIN,AMERICAN BANK AND TRUST WISCONSIN,100 NORTH MAIN STREET ,CUBA CITY,WI,538070827,53807,41,2014-10-28T12:49:41
54656,12501,0,0,111908965,CITIZENS STATE BANK,CITIZENS STATE BANK,1330 WEST COMMERCE STREET ,BUFFALO,TX,758319705,75831,41,2014-10-28T16:03:19
"54973,32526,708384,8384,321370765,""AMERICAN SAVINGS BANK, F.S.B."",""AMERICAN SAVINGS BANK, F.S.B."",915 FORT STREET MALL ,HONOLULU,HI,96813,96813,41,2014-10-30T19:17:31"
55336,16539,0,0,65404560,METAIRIE BANK & TRUST COMPANY,METAIRIE BANK AND TRUST COMPANY,3344 METAIRIE ROAD ,METAIRIE,LA,70001,70001,41,2014-10-08T16:49:53
55635,10319,0,0,64000185,CITIZENS SAVINGS BANK AND TRUST COMPANY,CITIZENS SAVINGS BANK AND TRUST COMPANY,2013 JEFFERSON STREET ,NASHVILLE,TN,37208,37208,41,2014-10-29T15:14:02
55653,1150,0,0,101100676,FIDELITY STATE BANK AND TRUST COMPANY,FIDELITY STATE BANK AND TRUST COMPANY,600 KANSAS AVENUE ,TOPEKA,KS,66603,66603,41,2014-10-28T15:28:59
55970,28914,702610,2610,323270274,EVERGREEN FEDERAL SAVINGS AND LOAN ASSOCIATION,EVERGREEN FEDERAL SAVINGS AND LOAN ASSOCIATION,969 SOUTHEAST SIXTH STREET ,GRANTS PASS,OR,97526,97526,41,2014-10-29T20:40:44
"56258,10218,0,0,91901862,""CITIZENS BANK & TRUST CO., HUTCHINSON, MINN."",""CITIZENS BANK AND TRUST CO., HUTCHINSON, MINN."",102 MAIN STREET S. ,HUTCHINSON,MN,55350,55350,41,2014-10-14T12:24:10"
56351,3250,13443,0,111903151,CITIZENS NATIONAL BANK,CITIZENS NATIONAL BANK,201 WEST MAIN STREET ,HENDERSON,TX,75652,75652,41,2014-10-27T16:51:03
"56427,7919,5833,0,43307841,""CITIZENS NATIONAL BANK OF MEYERSDALE, THE"",CITIZENS NATIONAL BANK OF MEYERSDALE,135 CENTER STREET ,MEYERSDALE,PA,15552,15552,41,2014-10-23T12:47:40"
56548,14769,0,0,75910484,DMB COMMUNITY BANK,DMB COMMUNITY BANK,321 NORTH MAIN STREET ,DE FOREST,WI,53532,53532,41,2014-10-13T17:53:08
56557,22683,0,0,102003206,COBIZ BANK,COBIZ BANK,821 17TH STREET ,DENVER,CO,80202,80202,41,2014-10-29T19:00:50
"56717,9888,0,0,31308551,""DIME BANK, THE"",DIME BANK,820-822 CHURCH STREET ,HONESDALE,PA,18431,18431,41,2014-10-27T15:56:41"
57040,14468,14184,0,75903019,FIRST NATIONAL BANK AT DARLINGTON,FIRST NATIONAL BANK AT DARLINGTON,245 MAIN STREET ,DARLINGTON,WI,53530,53530,41,2014-10-24T11:28:45
57228,5866,0,15171,55002998,NEW WINDSOR STATE BANK,NEW WINDSOR STATE BANK,213 MAIN STREET ,NEW WINDSOR,MD,21776,21776,41,2014-10-22T16:19:14
57451,17162,0,0,91811004,DAIRY STATE BANK,DAIRY STATE BANK,16 S. MAIN STREET ,RICE LAKE,WI,54868,54868,41,2014-10-21T11:51:28
58177,29323,703280,3280,242272670,RIPLEY FEDERAL SAVINGS BANK,RIPLEY FEDERAL SAVINGS BANK,1006 SOUTH SECOND ST ,RIPLEY,OH,45167,45167,41,2014-10-28T15:03:27
"58207,6212,0,11281,11701314,""FIRST COLEBROOK BANK, THE"",FIRST COLEBROOK BANK,132 MAIN STREET ,COLEBROOK,NH,3576,3576,41,2014-10-30T13:44:43"
"58225,769,0,0,44205146,""FARMERS BANK AND SAVINGS COMPANY, THE"",FARMERS BANK AND SAVINGS COMPANY,211 WEST SECOND STREET ,POMEROY,OH,45769,45769,41,2014-10-24T15:20:33"
