CIK,IRS_NUMBER,CONFORMED_NAME,MinOfFILING_DATE,FORMER_CONFORMED_NAME,FORMER_NAME_CHANGED,ASSIGNED_SIC,I_COUNTRY,I_STPR,B_STREET,B_STREET1,B_STREET2,B_CITY,B_STPR,B_POSTAL,B_COUNTRY,B_PHONE,M_STREET,M_STREET1,M_STREET2,M_CITY,M_STPR,M_POSTAL,M_COUNTRY
4980,0,AMERICAN FAMILY LIFE INSURANCE CO /WI,20101110,AMERICAN FAMILY LIFE INSURANCE CO,19690410,,US,WI,6000 AMERICAN PARKWAY ,6000 AMERICAN PARKWAY,,MADISON,WI,53783,US,6082424100, ,,,,,,
"5006,730783902,""AMERICAN FIDELITY SECURITIES, INC."",20140314,AMERICAN FIDELITY SECURITIES INC                        /BD,20020220,,US,OK,2000 CLASSEN BLVD. ,2000 CLASSEN BLVD.,,OKLAHOMA CITY,OK,73106-6092,US,405-523-5503,P.O. BOX 25523 ,P.O. BOX 25523,,OKLAHOMA CITY,OK,73125-0523,US"
5007,736128720,AMERICAN FIDELITY SEPARATE ACCOUNT A,20090218,AMERICAN FIDELITY VARIABLE ANNUITY FUND A,19920703,,,,2000 CLASSEN CENTER P.O. BOX 25523,2000 CLASSEN CENTER,P.O. BOX 25523,OKLAHOMA CITY,OK,73125,US,4055235483,2000 CLASSEN CENTER P.O. BOX 25523,2000 CLASSEN CENTER,P.O. BOX 25523,OKLAHOMA CITY,OK,73125,US
5075,870238597,AMERICAN FUNDS & TRUSTS INCORPORATED,20090317,AMERICAN FUNDS & TRUSTS INC                             /BD,20000101,,US,UT,3030 SOUTH MAIN STREET SUITE 100,3030 SOUTH MAIN STREET,SUITE 100,SALT LAKE CITY,UT,84115-3554,US,801 466-8701,3030 SOUTH MAIN STREET SUITE 100,3030 SOUTH MAIN STREET,SUITE 100,SALT LAKE CITY,UT,84115-3554,US
5076,952566717,AMERICAN FUNDS SERVICE CO /TA,20131010,AMERICAN FUNDS SERVICE CO                               /TA,20000101,,,,6455 IRVINE CENTER DRIVE ,6455 IRVINE CENTER DRIVE,,IRVINE,CA,92618-4518,US,9499755000,6455 IRVINE CENTER DRIVE ,6455 IRVINE CENTER DRIVE,,IRVINE,CA,92618-4518,US
5094,520906083,INVESCO VAN KAMPEN BOND FUND,20100611,VAN KAMPEN BOND FUND,19981006,,US,DE,VAN KAMPEN INVESTMENTS INC. 522 FIFTH AVENUE,VAN KAMPEN INVESTMENTS INC.,522 FIFTH AVENUE,NEW YORK,NY,10036,US,212-296-6963,VAN KAMPEN INVESTMENTS INC. 522 FIFTH AVENUE,VAN KAMPEN INVESTMENTS INC.,522 FIFTH AVENUE,NEW YORK,NY,10036,US
5096,135659764,ADVANTAGE CAPITAL CORPORATION,20090415,ADVANTAGE CAPITAL CORP                                  /BD,20020524,,US,NY,2300 WINDY RIDGE PARKWAY SUITE 1100,2300 WINDY RIDGE PARKWAY,SUITE 1100,ATLANTA,GA,30339,US,770-916-6505,2300 WINDY RIDGE PARKWAY SUITE 1100,2300 WINDY RIDGE PARKWAY,SUITE 1100,ATLANTA,GA,30339,US
5100,741908071,INVESCO VAN KAMPEN EXCHANGE FUND,20100601,VAN KAMPEN EXCHANGE FUND,20030731,,US,CA,VAN KAMPEN INVESTMENTS INC. 522 FIFTH AVENUE,VAN KAMPEN INVESTMENTS INC.,522 FIFTH AVENUE,NEW YORK,NY,10036,US,212-296-6963,VAN KAMPEN INVESTMENTS INC. 522 FIFTH AVENUE,VAN KAMPEN INVESTMENTS INC.,522 FIFTH AVENUE,NEW YORK,NY,10036,US
"5108,250598210,AMERICAN GENERAL LIFE INSURANCE CO,20130729,,,,US,TX,2727-A ALLEN PARKWAY ,2727-A ALLEN PARKWAY,,HOUSTON,TX,77019,US,7135221111,""2929 ALLEN PARKWAY, A30-25 "",""2929 ALLEN PARKWAY, A30-25"",,HOUSTON,TX,77019,US"
5114,741794065,VAN KAMPEN MONEY MARKET FUND,20090127,VAN KAMPEN RESERVE FUND,19981002,,US,DE,VAN KAMPEN INVESTMENTS INC. 522 FIFTH AVENUE,VAN KAMPEN INVESTMENTS INC.,522 FIFTH AVENUE,NEW YORK,NY,10036,US,212-296-6963,VAN KAMPEN INVESTMENTS INC. 522 FIFTH AVENUE,VAN KAMPEN INVESTMENTS INC.,522 FIFTH AVENUE,NEW YORK,NY,10036,US
5115,132625588,VAN KAMPEN STRATEGIC GROWTH FUND,20090313,VAN KAMPEN EMERGING GROWTH FUND,19981002,,US,DE,VAN KAMPEN INVESTMENTS INC. 522 FIFTH AVENUE,VAN KAMPEN INVESTMENTS INC.,522 FIFTH AVENUE,NEW YORK,NY,10036,US,212-296-6963,VAN KAMPEN INVESTMENTS INC. 522 FIFTH AVENUE,VAN KAMPEN INVESTMENTS INC.,522 FIFTH AVENUE,NEW YORK,NY,10036,US
5117,870273300,EMTEC INC/NJ,20080714,AMERICAN GEOLOGICAL ENTERPRISES INC,19920703,7389,US,UT,817 EAST LAKE GATE DRIVE ,817 EAST LAKE GATE DRIVE,,MT LAUREL,UT,8054,US,8013633283,817 EAST GATYE DRIVE ,817 EAST GATYE DRIVE,,MT LAUREL,NJ,8054,US
5133,340065325,AMERICAN GREETINGS CORP,20080625,,,2771,US,OH,ONE AMERICAN ROAD ,ONE AMERICAN ROAD,,CLEVELAND,OH,44144,US,2162527300,ONE AMERICAN ROAD ,ONE AMERICAN ROAD,,CLEVELAND,OH,44144,US
5138,846019291,AMERICAN GROWTH FUND INC,20130719,,,,US,MD,1636 LOGAN STREET ,1636 LOGAN STREET,,DENVER,CO,80203,US,3036260600,1636 LOGAN STREET ,1636 LOGAN STREET,,DENVER,CO,80203,US
"5139,840478785,""WORLD CAPITAL BROKERAGE, INC."",20131115,""AMERICAN GROWTH FUND SPONSORS, INC."",20020208,,US,CO,1636 LOGAN STREET SUITE 1400,1636 LOGAN STREET,SUITE 1400,DENVER,CO,80203,US,303-626-0631,1636 LOGAN STREET SUITE 1400,1636 LOGAN STREET,SUITE 1400,DENVER,CO,80203,US"
5187,132526821,WYETH,20080627,AMERICAN HOME PRODUCTS CORP,20020308,2834,US,DE,5 GIRALDA FARMS ,5 GIRALDA FARMS,,MADISON,NJ,7940,US,9736605000,5 GIRALDA FARMS ,5 GIRALDA FARMS,,MADISON,NJ,7940,US
5270,132701087,PINEBRIDGE SECURITIES LLC,20140320,AIG EQUITY SALES CORPORATION,20020129,,US,DE,399 PARK AVENUE 4TH FLOOR,399 PARK AVENUE,4TH FLOOR,NEW YORK,NY,10022,US,(646) 857-81,399 PARK AVENUE 4TH FLOOR,399 PARK AVENUE,4TH FLOOR,NEW YORK,NY,10022,US
5272,132592361,AMERICAN INTERNATIONAL GROUP INC,20140331,AMERICAN INTERNATIONAL ENTERPRISES INC,19700507,6331,US,DE,175 WATER STREET ,175 WATER STREET,,NEW YORK,NY,10038,US,2127707000,175 WATER STREET ,175 WATER STREET,,NEW YORK,NY,10038,US
5352,256109007,FEDERATED AMERICAN LEADERS FUND INC,20090528,AMERICAN LEADERS FUND INC,19920703,,US,MD,4000 ERICSSON DRIVE ,4000 ERICSSON DRIVE,,WARRENDALE,PA,15086-7561,US,8003417400,4000 ERICSSON DRIVE ,4000 ERICSSON DRIVE,,WARRENDALE,PA,15086-7561,US
5384,46196129,KEYSTONE LIQUID TRUST,20090819,AMERICAN LIQUID TRUST,19830523,,US,NJ,200 BERLELEY ST ,200 BERLELEY ST,,BOSTON,MA,2116,US,6173383200, ,,,,,,
5506,956006886,AMERICAN MUTUAL FUND INC,20110824,AMERICAN MUTUAL FUND INC,19920703,,US,MD,333 S HOPE ST - 55TH FL (MICG) ,333 S HOPE ST - 55TH FL (MICG),,LOS ANGELES,CA,90071,US,213-486-9200,333 S HOPE ST - 55TH FL (MICG) ,333 S HOPE ST - 55TH FL (MICG),,LOS ANGELES,CA,90071,US
5513,621598430,UNUM GROUP,20140729,UNUMPROVIDENT CORP,19990702,6321,US,DE,1 FOUNTAIN SQUARE ,1 FOUNTAIN SQUARE,,CHATTANOOGA,TN,37402,US,423-294-1011,1 FOUNTAIN SQUARE ,1 FOUNTAIN SQUARE,,CHATTANOOGA,TN,37402,US
5588,43164298,AMERICAN PAD & PAPER CO,20131028,,,2670,US,DE,17304 PRESTON D STE 700,17304 PRESTON D,STE 700,DALLAS,TX,75252-5613,US,9727335400,17304 PRESTON ROAD SUITE 700,17304 PRESTON ROAD,SUITE 700,DALLAS,TX,75252,US
5656,223489463,AMERICAN INTERNATIONAL VENTURES INC /DE/,20140414,AMERICAN PRECIOUS METALS INC/NEW/,20010207,1040,US,DE,6004 TEALSIDE COURT ,6004 TEALSIDE COURT,,LITHIA,FL,33547,US,813-260-2866,6004 TEALSIDE COURT ,6004 TEALSIDE COURT,,LITHIA,FL,33547,US
5732,870305395,AMERICAN REGISTRAR & TRANSFER CO /TA,20140410,AMERICAN REGISTRAR & TRANSFER CO                        /TA,20000101,,,,342 EAST 900 SOUTH ,342 EAST 900 SOUTH,,SALT LAKE CITY,UT,84111,US,8013639065,P O BOX 1798 ,P O BOX 1798,,SALT LAKE CITY,UT,84110,US
"5768,42240991,""AMERICAN SCIENCE & ENGINEERING, INC."",20100519,AMERICAN SCIENCE & ENGINEERING INC,19920703,3844,US,MA,C/O AS&E 829 MIDDLESEX TURNPIKE,C/O AS&E,829 MIDDLESEX TURNPIKE,BILLERICA,MA,1821,US,9782628700,C/O AS&E 829 MIDDLESEX TURNPIKE,C/O AS&E,829 MIDDLESEX TURNPIKE,BILLERICA,MA,1821,US"
5818,340066330,AMERICAN SHIP BUILDING CO,20130930,,,3730,US,NJ,1130 MCCLOSKEY BLVD ,1130 MCCLOSKEY BLVD,,TAMPA,FL,33605,US,8132471183, ,,,,,,
"5876,133439945,""AMERICAN STOCK TRANSFER & TRUST CO, LLC /TA"",20140514,AMERICAN STOCK TRANSFER & TRUST CO                      /TA,20000101,,,,6201 15TH AVENUE ,6201 15TH AVENUE,,BROOKLYN,NY,11219,US,(718) 921-82,6201 15TH AVENUE ,6201 15TH AVENUE,,BROOKLYN,NY,11219,US"
5981,952588080,AMERICAN VANGUARD CORP,20120706,AEROCON INC,19720620,2870,US,DE,4695 MACARTHUR COURT ,4695 MACARTHUR COURT,,NEWPORT BEACH,CA,92660,US,949-260-1200,4695 MACARTHUR COURT ,4695 MACARTHUR COURT,,NEWPORT BEACH,CA,92660,US
6071,42269444,AMES DEPARTMENT STORES INC,20131028,,,5331,US,DE,2418 MAIN ST ,2418 MAIN ST,,ROCKY HILL,CT,6067,US,8602572000,2418 MAIN STREET ,2418 MAIN STREET,,ROCKY HILL,CT,6067,US
6082,134923320,AMETEK INC,20090319,,,3621,US,DE,STATION SQUARE ,STATION SQUARE,,PAOLI,PA,19301,US,2156472121,STATION SQUARE ,STATION SQUARE,,PAOLI,PA,19301,US
6176,251117717,AMPCO PITTSBURGH CORP,20080728,SCREW & BOLT CORP OF AMERICA,19710518,3561,US,PA,600 GRANT ST STE 4600 ,600 GRANT ST STE 4600,,PITTSBURGH,PA,15219,US,4124564400, ,,,,,,
6201,751825172,AMERICAN AIRLINES GROUP INC.,20131209,AMR CORP,19920703,4512,US,DE,4333 AMON CARTER BLVD ,4333 AMON CARTER BLVD,,FORT WORTH,TX,76155,US,8179631234,4333 AMON CARTER BLVD ,4333 AMON CARTER BLVD,,FORT WORTH,TX,75261-9616,US
6207,590936128,AMREP CORPORATION,20140909,AMREP CORP,19920703,2721,US,OK,300 ALEXANDER PARK SUITE 204,300 ALEXANDER PARK,SUITE 204,PRINCETON,NJ,8540,US,(609) 716-82,300 ALEXANDER PARK SUITE 204,300 ALEXANDER PARK,SUITE 204,PRINCETON,NJ,8540,US
6247,381958738,ACTIVA MUTUAL FUND TRUST,20090218,AMWAY MUTUAL FUND INC,19920703,,US,DE,ATTN: JERRY MICK 2905 LUCERNE SE SUITE 200,ATTN: JERRY MICK,2905 LUCERNE SE SUITE 200,GRAND RAPIDS,MI,49546,US,616-588-5380,ATTN: JERRY MICK 2905 LUCERNE SE SUITE 200,ATTN: JERRY MICK,2905 LUCERNE SE SUITE 200,GRAND RAPIDS,MI,49546,US
6281,42348234,ANALOG DEVICES INC,20080624,,,3674,US,MA,ONE TECHNOLOGY WAY ,ONE TECHNOLOGY WAY,,NORWOOD,MA,2062,US,7813294700,ONE TECHNOLOGY WAY ,ONE TECHNOLOGY WAY,,NORWOOD,MA,2062,US
6284,42454372,ANALOGIC CORP,20080609,,,3825,US,MA,8 CENTENNIAL DRIVE ,8 CENTENNIAL DRIVE,,PEABODY,MA,1960,US,9789773000,8 CENTENNIAL DRIVE ,8 CENTENNIAL DRIVE,,PEABODY,MA,1960,US
6292,410905408,ANALYSTS INTERNATIONAL CORP,20110527,,,7371,,,7700 FRANCE AVE S ,7700 FRANCE AVE S,,MINNEAPOLIS,MN,55435,US,952-835-5900,7700 FRANCE AVE S ,7700 FRANCE AVE S,,MINNEAPOLIS,MN,55435,US
6314,160928561,ANAREN  INC,20080620,MICRONETICS INC,19721103,3663,US,NY,6635 KIRKVILLE RD ,6635 KIRKVILLE RD,,EAST SYRACUSE,NY,13057,US,3154328909,6635 KIRKVILLE ROAD ,6635 KIRKVILLE ROAD,,EAST SYRACUSE,NY,13057,US
6342,860198983,SUNAMERICA ANNUITY & LIFE ASSURANCE CO,20111108,AIG SUNAMERICA LIFE ASSURANCE CO,20020401,,US,AZ,1 SUNAMERICA CENTER FLOOR 37,1 SUNAMERICA CENTER,FLOOR 37,LOS ANGELES,CA,90067-6022,US,3107726000,1 SUNAMERICA CENTER FLOOR 37,1 SUNAMERICA CENTER,FLOOR 37,LOS ANGELES,CA,90067-6022,US
"6389,540968806,""ANDERSON & STRUDWICK, INCORPORATED"",20081210,ANDERSON & STRUDWICK INC                                /BD,20020129,,US,VA,707 E. MAIN STREET 20TH FLOOR ,707 E. MAIN STREET 20TH FLOOR,,RICHMOND,VA,23219,US,804 643-2400,P.O. BOX 1459 ,P.O. BOX 1459,,RICHMOND,VA,23218-1459,US"
6494,110482020,ANDREA ELECTRONICS CORP,20080814,ANDREA RADIO CORP,19911204,3663,US,NY,65 ORVILLE DRIVE ,65 ORVILLE DRIVE,,BOHEMIA,NY,11716,US,(631) 719-18,65 ORVILLE DRIVE ,65 ORVILLE DRIVE,,BOHEMIA,NY,11716,US
"6527,231685450,J. D. ANDREWS CO.,20091008,ANDREWS J D CO,20010924,,US,PA,""290 KING OF PRUSSIA ROAD, BLDG 2 SUITE 300"",""290 KING OF PRUSSIA ROAD, BLDG 2"",SUITE 300,RADNOR,PA,19087,US,610-341-9940,""290 KING OF PRUSSIA ROAD, BLDG 2 SUITE 300"",""290 KING OF PRUSSIA ROAD, BLDG 2"",SUITE 300,RADNOR,PA,19087,US"
6571,430905260,ANGELICA CORP /NEW/,20080603,ANGELICA UNIFORM CORP,19680621,7200,US,MO,424 S WOODS MILL RD ,424 S WOODS MILL RD,,CHESTERFIELD,MO,63017-3406,US,3148543800,424 SOUTH WOODS MILL ROAD ,424 SOUTH WOODS MILL ROAD,,CHESTERFIELD,MO,63017-3406,US
"6720,952077125,""OUTDOOR SPORTS GEAR, INC."",20130816,K2 INC,19960814,3949,US,DE,555 THEODORE FREMD AVENUE ,555 THEODORE FREMD AVENUE,,RYE,NY,10580,US,914-967-9400,555 THEODORE FREMD AVENUE ,555 THEODORE FREMD AVENUE,,RYE,NY,10580,US"
"6732,870678927,""NAC GLOBAL TECHNOLOGIES, INC."",20140716,LIPIDVIRO TECH INC,20040329,3560,US,NV,4720 SALISBURY ROAD ,4720 SALISBURY ROAD,,JACKSONVILLE,FL,32256,US,904-493-6496,4720 SALISBURY ROAD ,4720 SALISBURY ROAD,,JACKSONVILLE,FL,32256,US"
6769,410747868,APACHE CORP,20080627,APACHE OIL CORP,19660830,1311,US,DE,2000 POST OAK BLVD STE 100,2000 POST OAK BLVD,STE 100,HOUSTON,TX,77056-4400,US,7132966000,2000 POST OAK BLVD STE 100,2000 POST OAK BLVD,STE 100,HOUSTON,TX,77056-4400,US
6814,362362248,COMFORCE CORP,20100805,LORI CORP,19920703,7363,US,DE,999 STEWART AVENUE ,999 STEWART AVENUE,,BETHPAGE,NY,11714,US,5164373300,999 STEWART AVENUE ,999 STEWART AVENUE,,BETHPAGE,NY,11714,US
"6845,410919654,""APOGEE ENTERPRISES, INC."",20110427,APOGEE ENTERPRISES INC,19920703,3231,US,MN,4400 WEST 78TH STREET SUITE 520,4400 WEST 78TH STREET,SUITE 520,MINNEAPOLIS,MN,55435,US,6128351874,4400 WEST 78TH STREET SUITE 520,4400 WEST 78TH STREET,SUITE 520,MINNEAPOLIS,MN,55435,US"
6879,540124790,APPALACHIAN POWER CO,20080801,,,4911,US,VA,1 RIVERSIDE PLAZA ,1 RIVERSIDE PLAZA,,COLUMBUS,OH,43215,US,614-716-1000,1 RIVERSIDE PLAZA ,1 RIVERSIDE PLAZA,,COLUMBUS,OH,43215,US
6885,911826900,STAGE STORES INC,20080605,APPAREL RETAILERS INC,19930908,5651,US,NV,10201 MAIN ST ,10201 MAIN ST,,HOUSTON,TX,77025,US,7136675601,10201 MAIN STREET ,10201 MAIN STREET,,HOUSTON,TX,77025,US
6951,941655526,APPLIED MATERIALS INC /DE,20080604,APPLIED MATERIALS TECHNOLOGY INC,19730319,3674,US,DC,3050 BOWERS AVE ,3050 BOWERS AVE,,SANTA CLARA,CA,95054-3299,US,4087275555,3050 BOWERS AVE ,3050 BOWERS AVE,,SANTA CLARA,CA,95054-3299,US
6955,390168610,ACTUANT CORP,20110524,APPLIED POWER INC,19920703,3590,US,WI,ATTN:  MATT PAULI N86 W12500 WESTBROOK CROSSING,ATTN:  MATT PAULI,N86 W12500 WESTBROOK CROSSING,MENOMONEE FALLS,WI,53051,US,262-293-1524,ATTN:  MATT PAULI N86 W12500 WESTBROOK CROSSING,ATTN:  MATT PAULI,N86 W12500 WESTBROOK CROSSING,MENOMONEE FALLS,WI,53051,US
"7032,952051630,""ARAMARK SERVICES, INC."",20140515,ARAMARK CORP,20070413,5812,US,DE,1101 MARKET STREET ,1101 MARKET STREET,,PHILADELPHIA,PA,19107,US,2152383000,1101 MARKET STREET ,1101 MARKET STREET,,PHILADELPHIA,PA,19107,US"
"7039,751256622,TRECORA RESOURCES,20140716,ARABIAN AMERICAN DEVELOPMENT CO,20000811,2911,US,DE,""1650 HWY 6 SOUTH, SUITE 190 "",""1650 HWY 6 SOUTH, SUITE 190"",,SUGAR LAND,TX,77478,US,4093858300,""1650 HWY 6 SOUTH, SUITE 190 "",""1650 HWY 6 SOUTH, SUITE 190"",,SUGAR LAND,TX,77478,US"
7059,880448920,STRATEGIC RARE EARTH METALS INC.,20080627,CHINA GRANITE CORP,20040315,6770,US,NV,1700 PROSPECT STREET ,1700 PROSPECT STREET,,SARASOTA,FL,34239,US,301-460-5818,1700 PROSPECT STREET ,1700 PROSPECT STREET,,SARASOTA,FL,34239,US
7084,410129150,ARCHER DANIELS MIDLAND CO,20131204,,,2070,US,DE,4666 FARIES PKWY ,4666 FARIES PKWY,,DECATUR,IL,62526,US,2174245200,4666 FARIES PKWY ,4666 FARIES PKWY,,DECATUR,IL,62526,US
"7195,131931123,""ARGUS INVESTORS' COUNSEL, INC."",20090115,ARGUS INVESTORS COUNSEL INC,19920929,,,,""HOLLY POND PLAZA 1281 E. MAIN STREET, FIRST FLOOR"",HOLLY POND PLAZA,""1281 E. MAIN STREET, FIRST FLOOR"",STAMFORD,CT,6902,US,2033169000,""HOLLY POND PLAZA 1281 E. MAIN STREET, FIRST FLOOR"",HOLLY POND PLAZA,""1281 E. MAIN STREET, FIRST FLOOR"",STAMFORD,CT,6902,US"
7286,860011170,ARIZONA PUBLIC SERVICE CO,20080602,,,4931,US,AZ,400 N FIFTH ST P O BOX 53999,400 N FIFTH ST,P O BOX 53999,PHOENIX,AZ,85004,US,6022501000, ,,,,,,
7323,710005900,ENTERGY ARKANSAS INC,20141209,ARKANSAS POWER & LIGHT CO,19920703,4911,US,AR,425 WEST CAPITOL AVE 40TH FLOOR,425 WEST CAPITOL AVE,40TH FLOOR,LITTLE ROCK,AR,72201,US,501-377-4000,P. O. BOX 551 ,P. O. BOX 551,,LITTLE ROCK,AR,72203,US
7332,710205415,SOUTHWESTERN ENERGY CO,20080626,ARKANSAS WESTERN GAS CO,19790917,1311,US,DE,2350 N. SAM HOUSTON PARKWAY EAST SUITE 125,2350 N. SAM HOUSTON PARKWAY EAST,SUITE 125,HOUSTON,TX,77032,US,2816184700,2350 N. SAM HOUSTON PARKWAY EAST SUITE 125,2350 N. SAM HOUSTON PARKWAY EAST,SUITE 125,HOUSTON,TX,77032,US
7340,,ARKWIN INDUSTRIES INC,20130627,,,3490,,,686 MAIN STREET ,686 MAIN STREET,,WESTBURY,NY,11590,US,, ,,,,,,
7346,132668657,ARLEN CORP,20131122,ARLEN REALTY & DEVELOPMENT CORP,19860121,3714,US,NY,505 EIGHTH AVE ,505 EIGHTH AVE,,NEW YORK,NY,10018,US,2127368100,505 EIGHTH AVE ,505 EIGHTH AVE,,NEW YORK,NY,10018,US
7426,751254405,ARMSTRONG ASSOCIATES INC,20090226,,,,US,TX,750 N ST PAUL STE 1300,750 N ST PAUL,STE 1300,DALLAS,TX,75201,US,2147209101,750 N ST PAUL STE 1300,750 N ST PAUL,STE 1300,DALLAS,TX,75201,US
7431,230366390,ARMSTRONG WORLD INDUSTRIES INC,20080625,ARMSTRONG CORK CO,19800611,3089,US,PA,2500 COLUMBIA AVE ,2500 COLUMBIA AVE,,LANCASTER,PA,17603,US,7173970611,2500 COLUMBIA AVE ,2500 COLUMBIA AVE,,LANCASTER,PA,17603,US
"7470,134146043,NATIXIS SECURITIES AMERICAS LLC,20140318,NATIXIS BLEICHROEDER LLC,20091125,,US,DE,""1251 AVENUE OF THE AMERICAS, 5TH FLOOR "",""1251 AVENUE OF THE AMERICAS, 5TH FLOOR"",,NEW YORK,NY,10020,US,212-891-6242,1251 AVENUE OF THE AMERICAS 5TH FLOOR ,1251 AVENUE OF THE AMERICAS 5TH FLOOR,,NEW YORK,NY,10020,US"
7536,111806155,ARROW ELECTRONICS INC,20140410,,,5065,US,NY,7459 SOUTH LIMA STREET ,7459 SOUTH LIMA STREET,,ENGLEWOOD,CO,80112,US,303-824-4000,7459 SOUTH LIMA STREET ,7459 SOUTH LIMA STREET,,ENGLEWOOD,CO,80112,US
7623,420920725,ARTS WAY MANUFACTURING CO INC,20080701,,,3523,US,DE,P O BOX 288 ,P O BOX 288,,ARMSTRONG,IA,50514,US,7128643131,P O BOX 288 ,P O BOX 288,,ARMSTRONG,IA,50514,US
7694,610122250,ASHLAND INC,20111223,ASHLAND OIL INC,19920703,5160,US,KY,50 E. RIVERCENTER BOULEVARD ,50 E. RIVERCENTER BOULEVARD,,COVINGTON,KY,41012,US,8598153333,50 E. RIVERCENTER BOULEVARD ,50 E. RIVERCENTER BOULEVARD,,COVINGTON,KY,41012,US
7789,391098068,ASSOCIATED BANC-CORP,20141118,ASSOCIATED BANK SERVICES INC,19770626,6022,US,WI,433 MAIN STREET ,433 MAIN STREET,,GREEN BAY,WI,54301,US,920-491-7500,433 MAIN STREET ,433 MAIN STREET,,GREEN BAY,WI,54301,US
"7948,450274712,""ASSOCIATED FINANCIAL SERVICES, INC."",20100602,ASSOCIATED FINANCIAL SERVICES INC                       /BD,20000101,,US,ND,818 MAIN AVE. SUITE #2,818 MAIN AVE.,SUITE #2,FARGO,ND,58103,US,701-293-9434,P.O. BOX 2163 ,P.O. BOX 2163,,FARGO,ND,58107,US"
7951,880105586,ROBERTSON GLOBAL HEALTH SOLUTIONS CORP,20100728,ASI TECHNOLOGY CORP,20010323,6799,US,NV,4215 FASHION SQUARE BLVD SUITE 3,4215 FASHION SQUARE BLVD,SUITE 3,SAGINAW,MI,48603,US,9987998720,4215 FASHION SQUARE BLVD SUITE 3,4215 FASHION SQUARE BLVD,SUITE 3,SAGINAW,MI,48603,US
7974,60876639,ASSOCIATES FIRST CAPITAL CORP,20120928,ASSOCIATES FIRST NATIONAL CORP,19720518,6141,US,DE,4000 REGENT BOULEVARD C3B-350,4000 REGENT BOULEVARD,C3B-350,IRVING,TX,75063,US,469 220 4094,4000 REGENT BOULEVARD C3B-350,4000 REGENT BOULEVARD,C3B-350,IRVING,TX,75063,US
8063,160959303,ASTRONICS CORP,20080801,ASTRONICS LUMINESCENT INC,19711209,3728,US,NY,130 COMMERCE WAY -,130 COMMERCE WAY,-,EAST AURORA,NY,14052-2191,US,716-805-1599,130 COMMERCE WAY -,130 COMMERCE WAY,-,EAST AURORA,NY,14052-2191,US
8137,941649018,ATKINSON GUY F CO OF CALIFORNIA,20130923,,,1600,US,CA,1001 BAYHILL DR P O BOX 593,1001 BAYHILL DR,P O BOX 593,SAN BRUNO,CA,94066,US,4158761000,P O BO 593 S SAN FRANCISCO,P O BO 593,S SAN FRANCISCO,,,,
8146,50318215,ASTRO MED INC /NEW/,20080617,ATLAN TOL INDUSTRIES INC,19850220,3577,US,RI,600 E GREENWICH AVE ,600 E GREENWICH AVE,,WEST WARWICK,RI,2893,US,4018284000,600 E GREENWICH AVENUE ,600 E GREENWICH AVENUE,,WEST WARWICK,RI,2893,US
8155,580698318,ATLANTA MOTOR SPEEDWAY INC,20090807,ATLANTA INTERNATIONAL RACEWAY INC,19901126,7948,US,GA,PO BOX 600 U S HIGHWAY 29 NORTH,PO BOX 600,U S HIGHWAY 29 NORTH,CONCORD,NC,280260600,US,7045323306,P O BOX 600 U S HIGHWAY 29 NORTH,P O BOX 600,U S HIGHWAY 29 NORTH,CONCORD,NC,280260600,US
8177,581027114,ATLANTIC AMERICAN CORP,20080620,,,6311,US,GA,4370 PEACHTREE RD NE ,4370 PEACHTREE RD NE,,ATLANTA,GA,30319,US,4042665500,4370 PEACHTREE ROAD ,4370 PEACHTREE ROAD,,ATLANTA,GA,30319,US
8192,210398280,ATLANTIC CITY ELECTRIC CO,20080811,,,4911,US,NJ,800 KING STREET PO BOX 231,800 KING STREET,PO BOX 231,WILMINGTON,DE,19899,US,6096454100,800 KING STREET PO BOX 231,800 KING STREET,PO BOX 231,WILMINGTON,DE,19899,US
8286,581597246,ATLANTIS INTERNATIONAL CORP,20090605,,,6199,US,NJ,504 MCKEEVER ROAD #1528,504 MCKEEVER ROAD,#1528,ARCOLA,TX,77583,US,7137719229, ,,,,,,
"8328,820096527,""APPLIED MINERALS, INC."",20091120,ATLAS MINING CO,19990716,1040,US,DE,110 GREENE STREET SUITE 1101,110 GREENE STREET,SUITE 1101,NEW YORK,NY,10012,US,212-226-4256,110 GREENE STREET SUITE 1101,110 GREENE STREET,SUITE 1101,NEW YORK,NY,10012,US"
"8411,741611874,ATWOOD OCEANICS INC,20141113,,,1381,US,TX,""15011 KATY FREEWAY, SUITE 800"",""15011 KATY FREEWAY,"",SUITE 800,HOUSTON,TX,77094,US,2817497800,""15011 KATY FREEWAY, SUITE 800"",""15011 KATY FREEWAY,"",SUITE 800,HOUSTON,TX,77094,US"
"8486,351159900,""ONEAMERICA SECURITIES, INC."",20140317,AUL EQUITY SALES CORP /                                 /BD,20020131,,US,IN,433 NORTH CAPITOL AVE THIRD FLOOR,433 NORTH CAPITOL AVE,THIRD FLOOR,INDIANAPOLIS,IN,46204-1984,US,317-285-1588,433 NORTH CAPITOL AVE P.O. BOX 1984,433 NORTH CAPITOL AVE,P.O. BOX 1984,INDIANAPOLIS,IN,46204-1984,US"
