IDRSSD,FDIC Certificate Number,OCC Charter Number,OTS Docket Number,Primary ABA Routing Number,Financial Institution Name,Financial Institution Name Cleaned,Financial Institution Address,Financial Institution City,Financial Institution State,Financial Institution Zip Code,Financial Institution Zip Code 5,Financial Institution Filing Type,Last Date/Time Submission Updated On
304520,26847,0,11320,52102228,CHESAPEAKE BANK & TRUST COMPANY,CHESAPEAKE BANK AND TRUST COMPANY,245 HIGH STREET ,CHESTERTOWN,MD,21620,21620,41,2014-10-17T15:12:24
304575,29379,703360,3360,304172210,SIDNEY FEDERAL SAVINGS AND LOAN ASSOCIATION,SIDNEY FEDERAL SAVINGS AND LOAN ASSOCIATION,1045 10TH AVENUE ,SIDNEY,NE,69162,69162,41,2014-10-28T16:23:43
304762,18677,0,0,111317637,"SECURITY STATE BANK, THE",SECURITY STATE BANK,700 S MAIN ST ,WINTERS,TX,79567,79567,41,2014-10-28T19:17:33
304913,26392,0,0,31100380,DEUTSCHE BANK TRUST COMPANY DELAWARE,DEUTSCHE BANK TRUST COMPANY DELAWARE,"1011 CENTRE ROAD, SUITE 200 ",WILMINGTON,DE,19805,19805,41,2014-10-30T07:51:02
305059,11175,0,0,111309030,"FIRST STATE BANK, THE",FIRST STATE BANK,402 9TH STREET ,ABERNATHY,TX,793113419,79311,41,2014-10-30T13:25:35
305077,29384,703367,3367,271973128,PERU FEDERAL SAVINGS BANK,PERU FEDERAL SAVINGS BANK,1730 4TH ST ,PERU,IL,613540000,61354,41,2014-10-22T10:16:16
305152,4760,6229,0,101101662,FIRST NATIONAL BANK IN PRATT,FIRST NATIONAL BANK IN PRATT,223 SOUTH MAIN ,PRATT,KS,67124,67124,41,2014-10-22T15:25:50
305237,2154,0,0,61102332,"GEO. D. WARTHEN BANK, THE",GEO. D. WARTHEN BANK,216 NORTH HARRIS STREET ,SANDERSVILLE,GA,31082,31082,41,2014-10-28T08:05:49
305433,1746,0,16371,62105244,ESCAMBIA COUNTY BANK,ESCAMBIA COUNTY BANK,2151 RINGOLD STREET ,FLOMATON,AL,36441,36441,41,2014-10-17T16:54:38
305442,13305,0,0,83008650,"NEW WASHINGTON STATE BANK, THE",NEW WASHINGTON STATE BANK,402 EAST MAIN STREET ,NEW WASHINGTON,IN,47162,47162,41,2014-10-29T14:55:02
305648,14051,0,0,73901851,CENTURY BANK,CENTURY BANK,116 SOUTH BLOSSOM ,SHENANDOAH,IA,51601,51601,41,2014-10-14T16:20:04
305750,19640,15606,0,111902398,FORT HOOD NATIONAL BANK,FORT HOOD NATIONAL BANK,BUILDING 109 TJ MILLS BOULEVARD ,FORT HOOD,TX,76544,76544,41,2014-10-31T10:35:53
306056,3018,11571,0,107003829,"FIRST NATIONAL BANK OF FLEMING, THE",FIRST NATIONAL BANK OF FLEMING,201 NORTH LOGAN STREET ,FLEMING,CO,80728,80728,41,2014-10-22T11:47:58
306140,15738,0,0,73921860,SECURITY STATE BANK,SECURITY STATE BANK,933 16TH STREET SOUTHWEST ,WAVERLY,IA,50677,50677,41,2014-10-03T13:52:34
306159,26499,24219,0,91971533,AMERICAN NATIONAL BANK OF MINNESOTA,AMERICAN NATIONAL BANK OF MINNESOTA,7638 WOIDA ROAD ,BAXTER,MN,56425,56425,41,2014-10-24T16:10:19
306270,30547,0,5529,222371805,MEDINA SAVINGS AND LOAN ASSOCIATION,MEDINA SAVINGS AND LOAN ASSOCIATION,11182 MAPLE RIDGE ROAD ,MEDINA,NY,14103,14103,41,2014-10-23T15:26:52
306337,3614,0,0,71106195,CASEY STATE BANK,CASEY STATE BANK,305-307 NORTH CENTRAL AVENUE ,CASEY,IL,624201524,62420,41,2014-10-30T10:20:12
306739,5718,0,0,71117760,"STATE BANK OF BLUE MOUND, THE",STATE BANK OF BLUE MOUND,202 NORTH SAINT MARIE STREET ,BLUE MOUND,IL,625130200,62513,41,2014-10-29T17:13:10
306908,7123,0,10785,21909342,JEFF BANK,JEFF BANK,4864 STATE ROUTE 52 ,JEFFERSONVILLE,NY,12748,12748,41,2014-10-29T16:29:32
307062,2850,11076,0,124102509,"FARMERS NATIONAL BANK OF BUHL, THE",FARMERS NATIONAL BANK OF BUHL,914 MAIN STREET ,BUHL,ID,83316,83316,41,2014-10-23T18:52:57
307334,16288,0,16925,61212235,SOUTHERN BANK,SOUTHERN BANK,731 CHARLES PERRY AVENUE ,SARDIS,GA,30456,30456,41,2014-10-29T13:45:28
307361,23886,17319,0,111900604,AMERICAN BANK NATIONAL ASSOCIATION,AMERICAN BANK NATIONAL ASSOCIATION,200 WEST HIGHWAY 6 ,WACO,TX,76712,76712,41,2014-10-29T16:59:54
307679,23041,0,0,125107707,BANK OF THE PACIFIC,BANK OF THE PACIFIC,300 EAST MARKET ,ABERDEEN,WA,98520,98520,41,2014-10-28T15:06:31
307932,3615,7276,0,71112105,"FIRST NATIONAL BANK OF CATLIN, THE",FIRST NATIONAL BANK OF CATLIN,202 SOUTH SANDUSKY STREET ,CATLIN,IL,61817,61817,41,2014-10-29T15:19:12
307950,12617,0,0,101213000,HERITAGE STATE BANK,HERITAGE STATE BANK,1625 EAST AUSTIN BOULEVARD ,NEVADA,MO,64772,64772,41,2014-10-19T17:34:45
308256,8848,0,0,91906731,CENBANK,CENBANK,109 WEST YELLOWSTONE TRL ,BUFFALO LAKE,MN,55314,55314,41,2014-10-27T13:00:33
308340,8035,0,0,74912302,BATH STATE BANK,BATH STATE BANK,3095 BATH ROAD ,BATH,IN,47010,47010,41,2014-10-30T15:22:43
308443,26975,0,0,82901619,"BANK OF FAYETTEVILLE, THE",BANK OF FAYETTEVILLE,ONE SOUTH BLOCK STREET ,FAYETTEVILLE,AR,72701,72701,41,2014-10-09T11:00:37
308836,21635,0,0,71924160,BANK OF BOURBONNAIS,BANK OF BOURBONNAIS,ONE HERITAGE PLAZA ,BOURBONNAIS,IL,60914,60914,41,2014-10-28T09:19:07
309150,14036,0,0,81905768,"MISSOURI BANK, THE",MISSOURI BANK,104 NORTH HIGHWAY 47 ,WARRENTON,MO,63383,63383,41,2014-10-24T15:49:49
309570,31286,0,6671,252070752,FIRST MARINER BANK,FIRST MARINER BANK,1501 S. CLINTON STREET ,BALTIMORE,MD,21224,21224,41,2014-11-03T09:01:06
309655,4160,0,0,103101356,REGENT BANK,REGENT BANK,105 NORTH MAPLE STREET ,NOWATA,OK,74048,74048,41,2014-10-30T17:55:37
309851,1098,0,0,91203104,ROOT RIVER STATE BANK,ROOT RIVER STATE BANK,18 SE 3RD STREET ,CHATFIELD,MN,55923,55923,41,2014-10-29T16:32:06
309972,30570,712269,12269,271071415,WASHINGTON FEDERAL BANK FOR SAVINGS,WASHINGTON FEDERAL BANK FOR SAVINGS,2869 SOUTH ARCHER AVENUE ,CHICAGO,IL,60608,60608,41,2014-10-28T12:48:39
310071,32331,708152,8152,252071214,MADISON BANK OF MARYLAND,MADISON BANK OF MARYLAND,1920 ROCK SPRING RD ,FOREST HILL,MD,210502605,21050,41,2014-10-30T16:38:07
310437,26970,24665,0,63112919,"SOUTHERN COMMERCE BANK, NATIONAL ASSOCIATION","SOUTHERN COMMERCE BANK, NATIONAL ASSOCIATION","5650 BRECKENRIDGE PARK DRIVE, SUITE 110 ",TAMPA,FL,336104232,33610,41,2014-10-30T10:34:52
310754,16635,0,0,91916255,EQUITY BANK,EQUITY BANK,5900 GREEN OAK DRIVE SUITE 100,MINNETONKA,MN,55343,55343,41,2014-10-30T07:21:54
310875,31294,0,6681,251472542,SHORE BANK,SHORE BANK,25253 LANKFORD HIGHWAY ,ONLEY,VA,23418,23418,41,2014-10-30T17:05:43
310950,4161,10913,0,103110428,FIRST NATIONAL BANK IN OKEENE,FIRST NATIONAL BANK IN OKEENE,124 NORTH MAIN STREET ,OKEENE,OK,73763,73763,41,2014-10-10T15:13:31
310978,28513,0,1749,275071770,WATERSTONE BANK,WATERSTONE BANK,11200 WEST PLANK COURT ,WAUWATOSA,WI,53226,53226,41,2014-10-30T12:15:39
311050,4190,0,0,103100616,AMERICAN HERITAGE BANK,AMERICAN HERITAGE BANK,2 SOUTH MAIN STREET ,SAPULPA,OK,74066,74066,41,2014-10-27T14:24:37
311144,16282,0,0,82907493,BANK OF BEARDEN,BANK OF BEARDEN,1 NORTH SECOND STREET ,BEARDEN,AR,71720,71720,41,2014-10-29T18:09:28
311256,5116,0,0,91904827,GRANITE COMMUNITY BANK,GRANITE COMMUNITY BANK,202 2ND AVENUE SOUTH ,COLD SPRING,MN,56320,56320,41,2014-10-24T11:32:53
311265,5595,8694,0,114902227,"YOAKUM NATIONAL BANK, THE",YOAKUM NATIONAL BANK,301 WEST GRAND AVENUE ,YOAKUM,TX,779952698,77995,41,2014-10-20T14:19:11
311603,18200,0,8347,211173373,DIME BANK,DIME BANK,290 SALEM TURNPIKE BOX 70,NORWICH,CT,6360,6360,41,2014-10-30T12:47:29
311649,18958,0,0,73900739,PINNACLE BANK SIOUX CITY,PINNACLE BANK SIOUX CITY,1901 MORNINGSIDE AVENUE ,SIOUX CITY,IA,51106,51106,41,2014-10-29T17:44:56
311658,5117,8322,0,91206965,"FIRST NATIONAL BANK OF COLERAINE, THE",FIRST NATIONAL BANK OF COLERAINE,600 POWELL AVENUE ,COLERAINE,MN,55722,55722,41,2014-10-15T09:37:40
311845,8728,0,0,82900872,ARVEST BANK,ARVEST BANK,ONE MCILROY PLAZA ,FAYETTEVILLE,AR,72701,72701,41,2014-10-30T15:37:31
311939,9326,0,12422,65202461,WASHINGTON STATE BANK,WASHINGTON STATE BANK,103 NORTH MAIN STREET ,WASHINGTON,LA,70589,70589,41,2014-10-22T17:42:12
312244,9288,0,0,74905474,FIRST BANK OF BERNE,FIRST BANK OF BERNE,170 WEST MAIN STREET ,BERNE,IN,46711,46711,41,2014-10-27T08:26:57
312356,9388,0,0,101207210,CORNER STONE BANK,CORNER STONE BANK,117 NORTH MAIN ,SOUTH WEST CITY,MO,64863,64863,41,2014-10-30T16:59:25
312570,32304,0,8120,242272926,"ADAMS COUNTY BUILDING AND LOAN COMPANY, THE",ADAMS COUNTY BUILDING AND LOAN COMPANY,201 WEST MAIN STEEET ,WEST UNION,OH,45693,45693,41,2014-10-30T11:22:37
312730,21122,0,0,71923569,BRIDGEVIEW BANK GROUP,BRIDGEVIEW BANK GROUP,7940 SOUTH HARLEM ,BRIDGEVIEW,IL,60455,60455,41,2014-10-30T15:56:13
313009,13748,12018,0,21310465,"UPSTATE NATIONAL BANK, THE",UPSTATE NATIONAL BANK,729 PROCTOR AVENUE ,OGDENSBURG,NY,13669,13669,41,2014-10-28T14:07:07
313157,4193,8615,0,103106283,"FIRST NATIONAL BANK OF SEILING, THE",FIRST NATIONAL BANK OF SEILING,301 NORTH MAIN STREET ,SEILING,OK,73663,73663,41,2014-10-21T16:36:54
313175,29439,703451,3451,307070270,MORGAN FEDERAL BANK,MORGAN FEDERAL BANK,321 ENSIGN STREET ,FORT MORGAN,CO,807012309,80701,41,2014-10-30T15:30:43
313223,9137,0,0,42212568,OSGOOD STATE BANK,OSGOOD STATE BANK,275 WEST MAIN STREET ,OSGOOD,OH,45351,45351,41,2014-10-27T09:25:49
313401,7128,929,0,21307711,"NATIONAL UNION BANK OF KINDERHOOK, THE",NATIONAL UNION BANK OF KINDERHOOK,1 HUDSON STREET ,KINDERHOOK,NY,12106,12106,41,2014-10-27T13:04:35
313577,28530,0,1781,275971139,FORWARD FINANCIAL BANK,FORWARD FINANCIAL BANK,207 WEST 6TH STREET ,MARSHFIELD,WI,54449,54449,41,2014-10-30T10:26:00
313773,32369,0,0,252070684,FAIRMOUNT BANK,FAIRMOUNT BANK,8216 PHILADELPHIA ROAD ,ROSEDALE,MD,21237,21237,41,2014-10-29T13:49:14
314257,5123,0,0,91907125,DEERWOOD BANK,DEERWOOD BANK,21236 ARCHIBALD ROAD ,DEERWOOD,MN,56444,56444,41,2014-10-27T15:44:05
314444,1028,0,0,82901279,FBT BANK & MORTGAGE,FBT BANK AND MORTGAGE,200 WEST FOURTH STREET ,FORDYCE,AR,71742,71742,41,2014-10-22T10:46:12
315339,10856,0,0,71111863,BRIMFIELD BANK,BRIMFIELD BANK,123 EAST KNOXVILLE STREET ,BRIMFIELD,IL,61517,61517,41,2014-10-06T14:13:28
315357,15312,0,0,101114390,"ST. MARYS STATE BANK, THE",ST. MARYS STATE BANK,905 EAST BERTRAND ,SAINT MARYS,KS,66536,66536,41,2014-11-03T15:27:48
315629,7879,8854,0,43311497,"NEXTIER BANK, N.A.","NEXTIER BANK, NATIONAL ASSOCIATION",245 PITTSBURGH RD. ,BUTLER,PA,16001,16001,41,2014-10-29T16:45:08
315656,4049,0,0,103000680,FIRST ENTERPRISE BANK,FIRST ENTERPRISE BANK,1000 WEST BRITTON ROAD ,OKLAHOMA CITY,OK,73114,73114,41,2014-10-09T17:00:13
315852,8208,0,0,91907235,EASTWOOD BANK,EASTWOOD BANK,45 28TH STREET SE ,ROCHESTER,MN,55904,55904,41,2014-10-28T16:45:05
316354,22618,0,0,91905237,"REPUBLIC BANK, INCORPORATED","REPUBLIC BANK, INCORPORATED",4929 DECKER ROAD ,DULUTH,MN,55811,55811,41,2014-10-15T14:02:38
316840,23627,0,0,83001314,REPUBLIC BANK & TRUST COMPANY,REPUBLIC BANK AND TRUST COMPANY,601 WEST MARKET STREET ,LOUISVILLE,KY,40202,40202,41,2014-10-30T07:57:18
316859,10672,0,0,103105190,"EXCHANGE BANK, THE",EXCHANGE BANK,300 WEST ROGERS ,SKIATOOK,OK,74070,74070,41,2014-10-01T17:07:04
316934,12121,0,0,71111957,BUCKLEY STATE BANK,BUCKLEY STATE BANK,102 SOUTH RAILROAD STREET ,BUCKLEY,IL,60918,60918,41,2014-10-08T14:24:55
317100,90147,0,8141,211371379,NORTH MIDDLESEX SAVINGS BANK,NORTH MIDDLESEX SAVINGS BANK,7 MAIN STREET ,AYER,MA,1432,1432,41,2014-10-28T17:11:39
317258,15489,0,0,81502530,WEST PLAINS BANK AND TRUST COMPANY,WEST PLAINS BANK AND TRUST COMPANY,11 COURT SQUARE ,WEST PLAINS,MO,65775,65775,41,2014-10-28T15:25:51
317342,258,0,0,83000564,STOCK YARDS BANK & TRUST COMPANY,STOCK YARDS BANK AND TRUST COMPANY,1040 EAST MAIN STREET ,LOUISVILLE,KY,40206,40206,41,2014-10-24T13:54:41
317379,29476,703519,3519,304971945,HOME FEDERAL SAVINGS AND LOAN ASSOCIATION,HOME FEDERAL SAVINGS AND LOAN ASSOCIATION,221 SOUTH LOCUST STREET ,GRAND ISLAND,NE,68801,68801,41,2014-10-28T12:32:53
317650,16934,0,0,113110641,"CITIZENS STATE BANK OF GANADO, THE",CITIZENS STATE BANK OF GANADO,201 SOUTH 3RD STREET ,GANADO,TX,77962,77962,41,2014-11-13T12:51:33
318639,10885,0,0,71112202,BANK OF CHESTNUT,BANK OF CHESTNUT,100 EAST OLIVE STREET ,CHESTNUT,IL,62518,62518,41,2014-10-24T16:05:39
318835,27045,0,16212,63113028,PILOT BANK,PILOT BANK,12471 WEST LINEBAUGH AVENUE ,TAMPA,FL,33626,33626,41,2014-11-12T16:27:53
318947,20761,717927,17927,61192481,HERITAGE FIRST BANK,HERITAGE FIRST BANK,1700 TURNER MCCALL BLVD. ,ROME,GA,30161,30161,41,2014-10-27T18:49:27
318974,29488,703536,3536,241071212,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF LAKEWOOD,FIRST FEDERAL SAVINGS AND LOAN ASSOCIATION OF LAKEWOOD,14806 DETROIT AVE ,LAKEWOOD,OH,44107,44107,41,2014-10-29T14:54:24
319047,4318,5267,0,74902228,"RIDDELL NATIONAL BANK, THE",RIDDELL NATIONAL BANK,ONE EAST NATIONAL AVENUE ,BRAZIL,IN,47834,47834,41,2014-11-03T20:00:38
319458,4199,7217,0,103102847,"FIRST NATIONAL BANK OF STIGLER, THE",FIRST NATIONAL BANK OF STIGLER,300 EAST MAIN STREET ,STIGLER,OK,74462,74462,41,2014-10-20T17:31:58
319551,18374,0,0,101114691,SECURITY STATE BANK,SECURITY STATE BANK,506 MAIN STREET ,SCOTT CITY,KS,67871,67871,41,2014-10-29T12:20:52
320034,1730,0,17744,62201533,PEOPLES BANK OF GREENSBORO,PEOPLES BANK OF GREENSBORO,1402 STATE STREET ,GREENSBORO,AL,36744,36744,41,2014-10-11T13:12:49
320052,4042,0,0,103104887,LEGACY BANK,LEGACY BANK,101 WEST MAIN STREET ,HINTON,OK,73047,73047,41,2014-10-30T21:34:01
320070,28555,0,1834,242072663,VALLEY CENTRAL SAVINGS BANK,VALLEY CENTRAL SAVINGS BANK,115 W BENSON ST ,READING,OH,45215,45215,41,2014-10-28T16:33:37
320119,19977,0,0,26009768,ISRAEL DISCOUNT BANK OF NEW YORK,ISRAEL DISCOUNT BANK OF NEW YORK,511 FIFTH AVENUE ,NEW YORK,NY,10017,10017,31,2014-11-04T15:29:32
320155,3027,0,0,102101577,COLORADO EAST BANK & TRUST,COLORADO EAST BANK AND TRUST,100 WEST PEARL ,LAMAR,CO,81052,81052,41,2014-10-27T18:12:31
321152,6100,0,0,84303189,CITIZENS BANK AND TRUST COMPANY,CITIZENS BANK AND TRUST COMPANY,1359 WEST MAIN STREET ,ATWOOD,TN,38220,38220,41,2014-10-23T16:59:32
321255,15762,0,0,103105637,FIRST AMERICAN BANK,FIRST AMERICAN BANK,MAIN STREET AND HIGH SCHOOL AVENUE ,STONEWALL,OK,74871,74871,41,2014-10-21T17:47:20
321273,29510,703575,3575,261170371,NEWTON FEDERAL BANK,NEWTON FEDERAL BANK,3175 HIGHWAY 278 ,COVINGTON,GA,30014,30014,41,2014-10-30T16:08:15
321330,11324,0,13394,71105536,FARMERS AND MERCHANTS STATE BANK OF BUSHNELL,FARMERS AND MERCHANTS STATE BANK OF BUSHNELL,484 EAST MAIN STREET ,BUSHNELL,IL,61422,61422,41,2014-10-21T11:46:56
321947,4319,5629,0,74904640,"FCN BANK, NATIONAL ASSOCIATION","FCN BANK, NATIONAL ASSOCIATION",501 MAIN STREET ,BROOKVILLE,IN,47012,47012,41,2014-10-27T11:40:31
322056,3214,4097,0,111904419,NATIONAL BANK,NATIONAL BANK,905 MAIN STREET ,GATESVILLE,TX,76528,76528,41,2014-10-23T18:00:21
322177,14714,0,0,83914016,RIVER VALLEY FINANCIAL BANK,RIVER VALLEY FINANCIAL BANK,430 CLIFTY DRIVE ,MADISON,IN,47250,47250,41,2014-10-29T15:58:32
322449,8067,0,0,74912690,COMMUNITY STATE BANK,COMMUNITY STATE BANK,224 WEST MAIN STREET ,BROOK,IN,47922,47922,41,2014-10-27T16:49:45
322476,30618,0,5641,281271263,WABASH SAVINGS BANK,WABASH SAVINGS BANK,400 CHESTNUT STREET ,MOUNT CARMEL,IL,62863,62863,41,2014-10-27T12:49:03
322551,1622,0,0,101207773,FIRST SECURITY BANK,FIRST SECURITY BANK,4TH AND CEDAR ,UNION STAR,MO,64494,64494,41,2014-10-24T15:02:55
322757,9188,0,0,84302928,FARMERS AND MERCHANTS BANK,FARMERS AND MERCHANTS BANK,119  EAST MAIN STREET ,ADAMSVILLE,TN,38310,38310,41,2014-10-22T16:14:24
322850,422,0,0,103112507,BANK OF COMMERCE,BANK OF COMMERCE,24 WEST DIVISION ,STILWELL,OK,74960,74960,41,2014-10-28T12:36:41
323204,7151,1027,0,22304616,"LYONS NATIONAL BANK, THE",LYONS NATIONAL BANK,35 WILLIAM STREET ,LYONS,NY,14489,14489,41,2014-10-30T11:46:51
323651,3219,5741,0,111905612,GILMER NATIONAL BANK,GILMER NATIONAL BANK,713 US HIGHWAY 271 N ,GILMER,TX,75644,75644,41,2014-10-09T11:21:07
324153,3217,4410,0,113104712,FIRST NATIONAL BANK OF GIDDINGS,FIRST NATIONAL BANK OF GIDDINGS,108 EAST AUSTIN ,GIDDINGS,TX,789420269,78942,41,2014-10-28T16:26:27
324229,8397,0,0,44211910,"WATERFORD COMMERCIAL AND SAVINGS BANK, THE",WATERFORD COMMERCIAL AND SAVINGS BANK,20115 ST RT 339 ,WATERFORD,OH,45786,45786,41,2014-10-21T17:42:46
324256,13416,0,0,103112439,OKLAHOMA STATE BANK,OKLAHOMA STATE BANK,122 SOUTH HOY ,BUFFALO,OK,73834,73834,41,2014-10-21T10:40:26
324274,28567,0,1861,221271333,ROSELLE SAVINGS BANK,ROSELLE SAVINGS BANK,235 CHESTNUT ST ,ROSELLE,NJ,7203,7203,41,2014-11-05T10:59:09
324340,1014,0,10747,72408436,CHOICEONE BANK,CHOICEONE BANK,109 EAST DIVISION ,SPARTA,MI,49345,49345,41,2014-10-29T16:02:46
324649,3857,5929,0,82901473,FIRST NATIONAL BANK,FIRST NATIONAL BANK,135 SECTION LINE ROAD ,HOT SPRINGS,AR,71913,71913,41,2014-10-30T17:55:43
324854,1468,0,0,84303231,BANK OF CROCKETT,BANK OF CROCKETT,MAIN AND FRONT STREETS ,BELLS,TN,38006,38006,41,2014-10-29T17:38:34
324863,18059,0,0,124100417,"BANK OF COMMERCE, THE",BANK OF COMMERCE,3113 SOUTH 25TH EAST ,IDAHO FALLS,ID,83406,83406,41,2014-10-14T18:45:10
324975,29535,0,3613,271171616,DEWITT SAVINGS BANK,DEWITT SAVINGS BANK,302 WEST MAIN STREET ,CLINTON,IL,61727,61727,41,2014-10-28T11:55:59
325141,1296,0,0,82902265,FARMERS BANK,FARMERS BANK,71 WEST CENTER ,GREENWOOD,AR,72936,72936,41,2014-10-20T15:47:17
325459,5999,0,0,103111155,FIRST STATE BANK IN TEMPLE,FIRST STATE BANK IN TEMPLE,111 SOUTH COMMERCIAL ,TEMPLE,OK,73568,73568,41,2014-10-27T22:36:13
325534,902,0,0,71908908,BYRON BANK,BYRON BANK,200 NORTH WALNUT STREET ,BYRON,IL,61010,61010,41,2014-10-29T16:58:38
326054,15323,0,0,101110404,SILVER LAKE BANK,SILVER LAKE BANK,201 NORTHWEST US HIGHWAY 24 ,TOPEKA,KS,66608,66608,41,2014-10-20T11:24:43
326344,11722,0,0,81206328,"PEOPLES STATE BANK OF NEWTON, ILLINOIS, THE","PEOPLES STATE BANK OF NEWTON, ILLINOIS",100 WEST WASHINGTON STREET ,NEWTON,IL,62448,62448,41,2014-10-22T11:38:34
326858,4016,3393,0,91400020,"FIRST NATIONAL BANK IN SIOUX FALLS, THE",FIRST NATIONAL BANK IN SIOUX FALLS,100 SOUTH PHILLIPS AVENUE ,SIOUX FALLS,SD,57104,57104,41,2014-11-05T17:16:17
326979,26397,0,9582,211870281,GREENFIELD CO-OPERATIVE BANK,GREENFIELD CO-OPERATIVE BANK,63 FEDERAL STREET ,GREENFIELD,MA,1301,1301,41,2014-10-24T14:49:53
327220,8647,0,0,41208421,FARMERS STATE BANK,FARMERS STATE BANK,11 SOUTH MAIN ST. ,WEST SALEM,OH,44287,44287,41,2014-10-30T14:03:15
327305,12874,0,0,11202392,KATAHDIN TRUST COMPANY,KATAHDIN TRUST COMPANY,11 MAIN STREET ,PATTEN,ME,4765,4765,41,2014-10-29T09:33:23
327435,15465,0,13655,63105285,UNITED SOUTHERN BANK,UNITED SOUTHERN BANK,750 N. CENTRAL AVENUE ,UMATILLA,FL,32784,32784,41,2014-10-29T09:07:35
327453,9170,0,0,84302342,FIRST SOUTH BANK,FIRST SOUTH BANK,1862 HIGHWAY 45 BYPASS ,JACKSON,TN,38305,38305,41,2014-10-29T11:20:49
327556,4208,0,0,103106186,ANCHOR D BANK,ANCHOR D BANK,222 WEST MAIN STREET ,TEXHOMA,OK,73949,73949,41,2014-10-28T12:33:49
327855,3226,0,0,111905227,CIERA BANK,CIERA BANK,623 ELM STREET ,GRAHAM,TX,76450,76450,41,2014-10-27T11:54:21
327949,10887,0,0,81914856,FIRST COUNTY BANK,FIRST COUNTY BANK,14-22 EAST HANOVER ,NEW BADEN,IL,62265,62265,41,2014-10-22T12:44:50
328058,4209,7278,0,103103147,"FIRST NATIONAL BANK OF THOMAS, THE",FIRST NATIONAL BANK OF THOMAS,301 WEST BROADWAY STREET ,THOMAS,OK,73669,73669,41,2014-10-10T10:23:51
328357,3225,12437,0,111910762,"TITAN BANK, N.A.","TITAN BANK, NATIONAL ASSOCIATION",1701 EAST HUBBARD AVENUE ,MINERAL WELLS,TX,76067,76067,41,2014-11-14T17:10:45
328423,6731,1997,0,42204932,"NATIONAL BANK AND TRUST COMPANY, THE",NATIONAL BANK AND TRUST COMPANY,48 N SOUTH ST ,WILMINGTON,OH,45177,45177,41,2014-10-10T14:14:39
328656,8821,0,0,91211905,UNITED FARMERS STATE BANK,UNITED FARMERS STATE BANK,15 4TH STREET SOUTHWEST ,ADAMS,MN,55909,55909,41,2014-10-24T16:01:23
328777,30401,0,5285,231373182,FIRST SAVINGS BANK OF PERKASIE,FIRST SAVINGS BANK OF PERKASIE,219 SOUTH NINTH STREET ,PERKASIE,PA,18944,18944,41,2014-10-29T12:03:45
329149,16547,0,0,73922115,BANK PLUS,BANK PLUS,1202 CENTRAL AVENUE ,ESTHERVILLE,IA,51334,51334,41,2014-10-14T10:05:42
329345,88,0,0,82902320,FIRST BANK,FIRST BANK,302 MAIN STREET ,HAMPTON,AR,71744,71744,41,2014-10-30T19:09:43
329550,22020,0,0,84301408,INSOUTH BANK,INSOUTH BANK,111 SOUTH WASHINGTON STREET ,BROWNSVILLE,TN,38012,38012,41,2014-11-12T11:55:45
329952,3228,3727,0,111906161,"FIRST NATIONAL BANK OF GRANBURY, THE",FIRST NATIONAL BANK OF GRANBURY,101 E BRIDGE ST ,GRANBURY,TX,76048,76048,41,2014-10-27T15:37:47
330239,22271,16579,12700,62202859,FIRST NATIONAL BANK,FIRST NATIONAL BANK,341 MILITARY STREET SOUTH ,HAMILTON,AL,35570,35570,41,2014-10-23T15:43:28
330248,15763,14436,0,81921551,FIRST NATIONAL BANK OF NOKOMIS,FIRST NATIONAL BANK OF NOKOMIS,122 WEST STATE STREET ,NOKOMIS,IL,62075,62075,41,2014-10-08T17:02:07
330453,10173,0,0,91906359,ALTURA STATE BANK,ALTURA STATE BANK,411 NORTH MAIN STREET ,ALTURA,MN,55910,55910,41,2014-10-23T10:01:56
330855,1617,0,0,81903867,"BANK OF MISSOURI, THE",BANK OF MISSOURI,916 NORTH KINGSHIGHWAY ,PERRYVILLE,MO,63775,63775,41,2014-10-23T13:47:14
330873,26516,0,17289,211371997,WAKEFIELD CO-OPERATIVE BANK,WAKEFIELD CO-OPERATIVE BANK,342 MAIN STREET ,WAKEFIELD,MA,1880,1880,41,2014-10-30T17:04:29
330949,275,0,0,83903742,"MORGANTOWN BANK & TRUST COMPANY, INCORPORATED","MORGANTOWN BANK AND TRUST COMPANY, INCORPORATED",201 NORTH MAIN STREET ,MORGANTOWN,KY,42261,42261,41,2014-10-29T11:41:35
331076,30422,705313,5313,275971692,FIRST FEDERAL BANK OF WISCONSIN,FIRST FEDERAL BANK OF WISCONSIN,134 WISCONSIN AVENUE ,WAUKESHA,WI,53186,53186,41,2014-10-26T13:32:51
331375,26536,0,13786,211370228,BANKGLOUCESTER,BANKGLOUCESTER,160 MAIN STREET ,GLOUCESTER,MA,1930,1930,41,2014-10-28T11:07:49
331544,15092,0,0,75902609,RICHLAND COUNTY BANK,RICHLAND COUNTY BANK,195 WEST COURT ST. ,RICHLAND CENTER,WI,53581,53581,41,2014-10-27T12:29:25
331553,13603,0,0,101112224,"NEKOMA STATE BANK, THE",NEKOMA STATE BANK,801 MAIN STREET ,LA CROSSE,KS,67548,67548,41,2014-10-08T13:57:27
331713,7659,0,0,31312796,NEW TRIPOLI BANK,NEW TRIPOLI BANK,6748 MADISON STREET ,NEW TRIPOLI,PA,18066,18066,41,2014-11-05T09:51:18
